Ano;Estado;Denominacao;Quantidade
2015;PERNAMBUCO;5;64
2015;PERNAMBUCO;5;153
2015;PERNAMBUCO;10;2
2015;PERNAMBUCO;10;469
2015;PERNAMBUCO;10;286
2015;PERNAMBUCO;20;538
2015;PERNAMBUCO;20;2.711,00
2015;PERNAMBUCO;50;2.490,00
2015;PERNAMBUCO;50;953
2015;PERNAMBUCO;100;1.163,00
2015;PERNAMBUCO;100;5.019,00
2015;PIAUÍ;5;3
2015;PIAUÍ;5;44
2015;PIAUÍ;10;46
2015;PIAUÍ;10;7
2015;PIAUÍ;20;59
2015;PIAUÍ;20;223
2015;PIAUÍ;50;494
2015;PIAUÍ;50;277
2015;PIAUÍ;100;367
2015;PIAUÍ;100;2.403,00
2015;RIO DE JANEIRO;2;48
2015;RIO DE JANEIRO;2;53
2015;RIO DE JANEIRO;5;361
2015;RIO DE JANEIRO;5;517
2015;RIO DE JANEIRO;10;1
2015;RIO DE JANEIRO;10;497
2015;RIO DE JANEIRO;10;330
2015;RIO DE JANEIRO;20;5.188,00
2015;RIO DE JANEIRO;20;3.581,00
2015;RIO DE JANEIRO;50;22.202,00
2015;RIO DE JANEIRO;50;4.678,00
2015;RIO DE JANEIRO;100;11.254,00
2015;RIO DE JANEIRO;100;12.508,00
2015;RIO GRANDE DO NORTE;1;1
2015;RIO GRANDE DO NORTE;2;3
2015;RIO GRANDE DO NORTE;5;20
2015;RIO GRANDE DO NORTE;5;8
2015;RIO GRANDE DO NORTE;10;1
2015;RIO GRANDE DO NORTE;10;38
2015;RIO GRANDE DO NORTE;10;25
2015;RIO GRANDE DO NORTE;20;132
2015;RIO GRANDE DO NORTE;20;154
2015;RIO GRANDE DO NORTE;50;381
2015;RIO GRANDE DO NORTE;50;655
2015;RIO GRANDE DO NORTE;100;498
2015;RIO GRANDE DO NORTE;100;1.866,00
2015;RIO GRANDE DO SUL;2;35
2015;RIO GRANDE DO SUL;2;21
2015;RIO GRANDE DO SUL;5;139
2015;RIO GRANDE DO SUL;5;472
2015;RIO GRANDE DO SUL;10;451
2015;RIO GRANDE DO SUL;10;341
2015;RIO GRANDE DO SUL;20;749
2015;RIO GRANDE DO SUL;20;3.899,00
2015;RIO GRANDE DO SUL;50;3.955,00
2015;RIO GRANDE DO SUL;50;2.214,00
2015;RIO GRANDE DO SUL;100;7.704,00
2015;RIO GRANDE DO SUL;100;3.264,00
2015;RONDÔNIA;2;1
2015;RONDÔNIA;5;14
2015;RONDÔNIA;10;21
2015;RONDÔNIA;10;481
2015;RONDÔNIA;20;79
2015;RONDÔNIA;20;365
2015;RONDÔNIA;50;373
2015;RONDÔNIA;50;388
2015;RONDÔNIA;100;505
2015;RONDÔNIA;100;1.047,00
2015;RORAIMA;5;1
2015;RORAIMA;10;3
2015;RORAIMA;10;6
2015;RORAIMA;20;1
2015;RORAIMA;20;54
2015;RORAIMA;50;12
2015;RORAIMA;50;20
2015;RORAIMA;100;38
2015;RORAIMA;100;116
2015;SANTA CATARINA;2;11
2015;SANTA CATARINA;2;3
2015;SANTA CATARINA;5;84
2015;SANTA CATARINA;5;240
2015;SANTA CATARINA;10;185
2015;SANTA CATARINA;10;66
2015;SANTA CATARINA;20;1.633,00
2015;SANTA CATARINA;20;701
2015;SANTA CATARINA;50;5.282,00
2015;SANTA CATARINA;50;1.500,00
2015;SANTA CATARINA;100;7.465,00
2015;SANTA CATARINA;100;4.927,00
2015;SÃO PAULO;2;279
2015;SÃO PAULO;2;142
2015;SÃO PAULO;5;524
2015;SÃO PAULO;5;634
2015;SÃO PAULO;10;24
2015;SÃO PAULO;10;2.433,00
2015;SÃO PAULO;10;1.049,00
