ano,estado,familia,denominacao,quantidade
1999,PARANÁ,50,00,444,00
1999,PARANÁ,100,00,74,00
1999,PERNAMBUCO,1,00,4,00
1999,PERNAMBUCO,5,00,34,00
1999,PERNAMBUCO,10,00,328,00
1999,PERNAMBUCO,50,00,85,00
1999,PERNAMBUCO,100,00,7,00
1999,PIAUÍ,5,00,4,00
1999,PIAUÍ,10,00,60,00
1999,PIAUÍ,50,00,37,00
1999,PIAUÍ,100,00,1,00
1999,RIO DE JANEIRO,5,00,162,00
1999,RIO DE JANEIRO,10,00,1.621,00
1999,RIO DE JANEIRO,50,00,2.229,00
1999,RIO DE JANEIRO,100,00,45,00
1999,RIO GRANDE DO NORTE,5,00,3,00
1999,RIO GRANDE DO NORTE,10,00,71,00
1999,RIO GRANDE DO NORTE,50,00,22,00
1999,RIO GRANDE DO NORTE,100,00,5,00
1999,RIO GRANDE DO SUL,5,00,22,00
1999,RIO GRANDE DO SUL,10,00,256,00
1999,RIO GRANDE DO SUL,50,00,244,00
1999,RIO GRANDE DO SUL,100,00,38,00
1999,RONDÔNIA,1,00,1,00
1999,RONDÔNIA,5,00,1,00
1999,RONDÔNIA,10,00,97,00
1999,RONDÔNIA,50,00,122,00
1999,RONDÔNIA,100,00,14,00
1999,RORAIMA,10,00,1,00
1999,RORAIMA,50,00,7,00
1999,RORAIMA,100,00,1,00
1999,SANTA CATARINA,5,00,6,00
1999,SANTA CATARINA,10,00,94,00
1999,SANTA CATARINA,50,00,200,00
1999,SANTA CATARINA,100,00,7,00
1999,SÃO PAULO,1,00,4,00
1999,SÃO PAULO,5,00,193,00
1999,SÃO PAULO,10,00,6.465,00
1999,SÃO PAULO,50,00,2.674,00
1999,SÃO PAULO,100,00,295,00
1999,SERGIPE,10,00,8,00
1999,SERGIPE,50,00,4,00
1999,TOCANTINS,5,00,4,00
1999,TOCANTINS,10,00,119,00
1999,TOCANTINS,50,00,21,00
1999,TOCANTINS,100,00,7,00
2000,ACRE,10,00,25,00
2000,ACRE,50,00,136,00
2000,ACRE,100,00,15,00
2000,ALAGOAS,1,00,4,00
2000,ALAGOAS,5,00,104,00
2000,ALAGOAS,10,00,1.344,00
2000,ALAGOAS,50,00,882,00
2000,ALAGOAS,100,00,101,00
2000,AMAPÁ,10,00,6,00
2000,AMAPÁ,50,00,4,00
2000,AMAZONAS,5,00,76,00
2000,AMAZONAS,10,00,810,00
2000,AMAZONAS,50,00,702,00
2000,AMAZONAS,100,00,220,00
