ano;mes;quant_lancamentos;valor_atualizado
2022;1;2.085.406;9.507.471.196,97
2022;2;2.048.872;9.456.659.039,67
2022;3;1.819.494;9.374.022.748,37
2022;4;1.863.570;9.374.779.158,74
2022;5;;
2022;6;;
2022;7;;
2022;8;;
2022;9;;
2022;10;;
2022;11;;
2022;12;;
